indicator,id,year,stage
"[0.02526998922601436, 0.11710977335674916, 0.09745527814908436, 0.2678581162687947, 0.08812959670767788, 0.07745278056186768, 0.1728358359022272, 0.23498205506285275, 0.09867659243447756]",111,2011,3
"[0.032420563100408535, 0.10054075567579397, 0.09923918701898195, 0.24667025911221332, 0.08365843740441968, 0.07418586069981094, 0.12588848603011799, 0.23213555018644705, 0.11544907448953813]",112,2012,3
"[0.03394787014154127, 0.055589049823114155, 0.10777504714161407, 0.2595056215692299, 0.0646487090603479, 0.0695127334047656, 0.12717004823361186, 0.2456612374113897, 0.12081908945821856]",113,2013,3
"[0.029435372065467272, 0.054275752561668104, 0.0958092745163168, 0.18247449846703578, 0.044211572637382866, 0.06797773230351678, 0.12418227735303536, 0.16479729014283462, 0.09979938933599058]",114,2014,3
"[0.02645018103052602, 0.051077662189831716, 0.09444174557327423, 0.22277803719906616, 0.04280421650383615, 0.0631613511701875, 0.1253491576457391, 0.21096411666099615, 0.11238443139952523]",115,2015,3
"[0.021035183339237228, 0.053521972756671844, 0.09798211328771161, 0.17849023049820392, 0.032293874233587275, 0.057982698305588214, 0.12004884801629011, 0.26559802427848334, 0.08099766614631322]",116,2016,3
"[0.022701336475018395, 0.052427683405421414, 0.0911795910717563, 0.22402165080769387, 0.01786652053323747, 0.05521603922948155, 0.12842858766290766, 0.19909469847823036, 0.07990052394920294]",117,2017,3
"[0.021382298575858306, 0.06819831333818595, 0.09019932146708182, 0.1278688069097393, 0.015361136409382957, 0.04520906495746207, 0.1339936931285594, 0.15597194817447188, 0.07411224104679538]",118,2018,3
"[0.016036723931893728, 0.0688669242532662, 0.08971770800387086, 0.14749437767952353, 0.004965215809093482, 0.03915089879900819, 0.12522301249623222, 0.14641525322808188, 0.0477935149234236]",119,2019,3
"[0.013606917275546191, 0.07486054352773562, 0.08465585221706176, 0.06949230581258073, 0.0042060254454262865, 0.022000068132117447, 0.13599262612155882, 0.07739020192103367, 0.037298317389563684]",120,2020,3
